time,lambda
0,0
0.5,0.00010836287468144
1,-8.5351479281533e-07
1.5,-8.6205378776247e-07
2,-8.6205378776247e-07
2.5,-8.6205378776247e-07
3,-8.6205378776247e-07
3.5,-8.6205378776247e-07
4,-8.6205378776247e-07
4.5,-8.6205378776247e-07
5,-8.6205378776247e-07
5.5,-8.6205378776247e-07
6,-8.6205378776247e-07
6.5,-8.6205378776247e-07
7,-8.6205378776247e-07
7.5,-8.6205378776247e-07
8,-8.6205378776247e-07
8.5,-8.6205378776247e-07
9,-8.6205378776247e-07
9.5,-8.6205378776247e-07
10,-8.6205378776247e-07
